Label, Id
Talisa Stark,865
Lyonel Tyrell,866
Gendry,867
Daeron II Targaryen,868
Whore (Breaker of Chains),869
Stokeworth (Lord),870
Mors Martell,871
Herndon of the Horn,872
Cedric Forrester,873
Riverlands refugee,874
Damon Morrigen,875
Morgan (season 6),876
Prince Oberyn Martell,877
Reece Noi,878
House Justman,879
Others,880
Meereenese homeless mother,881
Elizabeth Webster,882
Goldcloak on the Kingsroad,883
Dance of the Dragons,884
Vance Corbray,885
The dead,886
Jafer Flowers,887
George Appleby,888
Daenerys,889
Maynard,890
Sparring boy,891
The Spider,892
Gold Cloak on the Kingsroad,893
Brienne,894
House Tyrell,895
Dhoshkhaleen,896
Myranda,897
Timett,898
Tazal,899
Wineseller,900
Hugh of the Vale,901
Ashford (Lord),902
Great Master 3,903
Oznak zo Pahl,904
Lannister soldier 2 (Dragonstone),905
Samwell Stone,906
Mag the Mighty,907
Captain of the Archers,908
Danelle Lothston,909
Wylis,910
Rhaego,911
Britt,912
Mirri maz duur,913
Wun Wun,914
Blood,915
Quorro,916
Edmyn Tully,917
Ethan Forrester,918
Giant (Valar Dohaeris),919
Howland Reed,920
Camello,921
Lomas Longstrider,922
Flowering,923
Baratheon general,924
Bran,925
Theon Greyjoy,926
Stonesnake,927
Alerie Hightower,928
Moro's wife 1,929
Great House,930
Goldcloaks,931
Stark officer 1,932
Orys Baratheon,933
Bathhouse prostitute,934
Victarion Greyjoy,935
Marlin Dormund,936
Targaryen madness,937
Knights,938
Rattleshirt,939
Gared Tuttle,940
Rodrick Forrester,941
House Reyne,942
High Septon (Robert's Rebellion),943
Qhogo,944
Minisa Whent,945
Dongo,946
Bastard of Winterfell,947
Caulfield (Lady),948
Law and Customs,949
Whitehill Soldier 1,950
Robb Stark,951
Despondent man,952
Stygg,953
Rat cook,954
Tobho Mott,955
Hugh Hammer,956
Ornela,957
Beric,958
Harren Hoare,959
Tristan Mudd,960
Max Laird,961
Mengo,962
Tully (son of Edmure),963
Danaerys,964
Second Sons (mercenary company),965
Whitehill Lieutenant,966
Myk,967
Greyjoy Rebellion (Histories & Lore),968
Thirteen member,969
Asha,970
Reginald Lannister,971
Brandon the Builder,972
Bolton guard (The Laws of Gods and Men),973
Aegon IV Targaryen,974
Orwyle,975
Feudalism,976
Goldcloak 2 (The Wolf and the Lion),977
Clegane,978
Arryn,979
Aenys I Targaryen,980
Mag Mar Tun Doh Weg,981
Mychal Baratheon,982
Volaric,983
House Tarly (Histories & Lore),984
Gendry Baratheon,985
Molly Stone,986
Aelinor Targaryen,987
The Bastards of Westeros,988
Frostfinger,989
Blood (horse),990
Vermax,991
The Hound,992
Baelish (hedge knight),993
Shiera Seastar,994
Umber,995
Loras,996
Lannister guard 2,997
Whore (The Crone),998
Philip Philmar,999
Little Bird 7,1000
Talla Tarly,1001
House Manderly,1002
Baratheon,1003
Rickard Stark (King),1004
Duncan,1005
Ghita,1006
Guymon,1007
Qhored Hoare,1008
Alliser Thorne,1009
Dorian Hightower's first wife,1010
Biter,1011
Musician 4 (The Door),1012
Direwolves,1013
Escan,1014
Dragonpit summit,1015
Gendel,1016
The Harpy,1017
Kaeth,1018
Lorimer,1019
Argella Baratheon,1020
Mycah,1021
Savo,1022
Salt wives,1023
Black Walder Frey,1024
Rhaena Targaryen (daughter of Aegon III),1025
Ward,1026
Beric Karstark,1027
Krysten Coombs,1028
Fighting pit announcer,1029
Ironborn 1 (The Door),1030
Whitehill soldier 3,1031
Chivalry,1032
Lead Kingsguard,1033
Brightroar,1034
Meereenese prostitute,1035
Child of the Forest (The Children),1036
Torgold Tollett,1037
Ebbert Whitehill,1038
Robert,1039
Daario Naharis and Daenerys Targaryen,1040
Jhiqui,1041
Rhaenys Targaryen,1042
King's Landing flasher,1043
Margaery,1044
Raymun Redbeard,1045
Dorren Stark,1046
Harker,1047
Davos,1048
Tom,1049
Jon Umber (Greatjon),1050
Joss (A Golden Crown),1051
Sam,1052
House Martell (Histories & Lore),1053
Dim Dalba,1054
Selwyn Tarth,1055
Child of the Forest 3,1056
Sally,1057
Yohn Royce,1058
Garth Greenhand,1059
Wylla,1060
Brusco bouncer,1061
Northern Lord,1062
Lhara,1063
Dean Whatton,1064
Orphan kid 2,1065
Cersei Baratheon,1066
Jogos Nhai,1067
Little Moon,1068
Dontos,1069
Bronn of the Blackwater,1070
Masha Heddle,1071
Dierdre Monaghan,1072
Samwell Tarly and Gilly,1073
Knight of House Lynderly,1074
Kayla,1075
House Durrandon,1076
Viserion,1077
Mercenary,1078
Qhorwyn Hoare,1079
Wyman Manderly,1080
Jason Mallister,1081
Loras Tyrell,1082
The Death of Kings,1083
Gatins,1084
Jon Snow,1085
War of Five Kings,1086
Regicide,1087
Lowell,1088
Black Lorren,1089
Stark guard (The Old Gods and the New),1090
Doreah,1091
Axell Florent,1092
Old Nan,1093
Jack Bulwer,1094
Tansy,1095
Lord of Winterfell,1096
High Septon (War of Conquest),1097
Lymond Hightower,1098
Jon Umber,1099
Helaena Targaryen,1100
Fat Walda,1101
Bastard's girls,1102
Sunfyre,1103
Great Master 4,1104
Garibald Tarwick,1105
Marriage,1106
Jaime Lannister,1107
Cotter,1108
Dany,1109
Mara Karstark,1110
Rossart,1111
Willem,1112
House Baratheon,1113
Gilly,1114
Hugor of the Hill,1115
Theresa Baratheon,1116
Craster's younger wife,1117
Croft,1118
Great house,1119
Marianne Frey,1120
Mirelle,1121
Visenya,1122
Dwarfism,1123
The Smith (whore),1124
Elder slave,1125
The Seven,1126
Whitehill Soldier 3,1127
Hallis Mollen,1128
Silverwing,1129
Maelor Targaryen,1130
Steffon,1131
Leo Woodruff,1132
Faull,1133
Nina Yndis,1134
Weasel,1135
Kitty Frey,1136
Red God,1137
Gelmarr,1138
Ygritte,1139
Willas Tyrell,1140
Children of the Forest,1141
The Mountain,1142
Forrester-Whitehill conflict,1143
Graces,1144
House Caron,1145
Talisa Maegyr,1146
Bethany Bracken,1147
Obara Sand,1148
Torrhen Karstark,1149
Bryan,1150
Tormund,1151
Qhorin Halfhand,1152
Reek,1153
First Mate,1154
Wounded Lannister,1155
Last dragon,1156
Thoros,1157
Lann,1158
Maester Luwin,1159
Jenny of Oldstones,1160
Tyrek Tallhart,1161
Ch'Vyalthan,1162
Berrican Karstark,1163
Brienne Tarth,1164
Craster's wife 3 (Oathkeeper),1165
Bloodsong,1166
Gender and Sexuality,1167
Yara,1168
Showdown at the Red Mountains,1169
Cormac McDonagh,1170
Myriah Martell,1171
Olenna Tyrell,1172
Aegon Blackfyre,1173
Daemon Targaryen,1174
Unnamed son of Edmure and Roslin Tully,1175
Frey,1176
Ethan Glover,1177
Innkeeper's daughter,1178
Yoren,1179
Aeron Greyjoy,1180
Tommen,1181
Sick maester,1182
Kesh,1183
Alerie Tyrell,1184
White Walker (Beyond the Wall),1185
Bethany Redwyne,1186
Musician 3 (The Door),1187
Sera Flowers,1188
Lobor,1189
Serra Frey,1190
Great Master 1,1191
Sybelle Glover,1192
Slavery,1193
Rylene Florent,1194
Rodrik Flint,1195
Dreams,1196
Walda Frey (grandniece of Lord Walder),1197
Leaf,1198
New prostitute,1199
Marlon of Tumblestone,1200
Waldra Frey,1201
Rape,1202
Craster,1203
Walder Frey (Black),1204
Laurence Doherty,1205
Brandon,1206
Bobby B,1207
House Reed,1208
Joyeuse,1209
Warrior woman,1210
Obella Sand,1211
Seven,1212
Thenn warg,1213
New Gods,1214
Characters significantly changed between books and TV series,1215
Deziel Dalt,1216
Gerardys,1217
Glenmore (Lord),1218
Billy,1219
Tortured slave,1220
Dragonpit Summit,1221
Lucerys Velaryon,1222
Longclaw,1223
Tyrion,1224
Scolera,1225
Lann the Clever,1226
Dwarfs,1227
City Watch of King's Landing,1228
Karstark soldier 2,1229
Laenor Velaryon,1230
Sylvi,1231
Stannis,1232
Simon Toyne,1233
Falyse Stokeworth,1234
Wibberley (Lord),1235
Stevron Frey,1236
Qotho,1237
Barristan,1238
Viserys II,1239
Hoster Tully,1240
Assassination of Ethan Forrester,1241
The Miller's Wife,1242
Blackfish Tully,1243
Lucy Gallagher,1244
Goldcloak 1 (Lord Snow),1245
Musician 3 (The Lion and the Rose),1246
Therrond,1247
Dylan McDonough,1248
Eon Hunter,1249
Alysanne Targaryen,1250
Baratheon soldier 2,1251
Genna,1252
Kear Umber,1253
The Last War,1254
Daenerys Stormborn,1255
Princess,1256
Fat Walda Frey,1257
Mummer 3,1258
Oldtown (Histories & Lore),1259
Thoros of Myr,1260
Griffin King,1261
Joyeuse Erenford,1262
Maege Mormont,1263
Talitha Luke-Eardley,1264
Maron Greyjoy,1265
Archmaester (Eastwatch),1266
Duncan Tuttle,1267
Slave (Oathkeeper),1268
Joffrey Velaryon,1269
Free Folk,1270
Duncan the Tall,1271
Aenar Targaryen,1272
Jaehaerys I Targaryen,1273
Joyeuse Frey,1274
Joe,1275
Mully,1276
Bears,1277
House Targaryen,1278
Whore (The Maiden),1279
Greyjoy,1280
Slaves,1281
Alistair James,1282
Gordo,1283
Jon Lynderly,1284
Wex,1285
Humfrey Beesbury,1286
Lannister Captain,1287
Axel Tully,1288
Khal Moro's wife 1,1289
Balerion,1290
Olyver,1291
Medger Cerwyn,1292
Elboneno,1293
Faith of the Seven,1294
Qhono,1295
Needle,1296
Sandor Clegane,1297
Cotter Pyke,1298
Uthero Zalyne,1299
Pono,1300
Dothraki widow 3,1301
Edmure Tully,1302
Dragons (Histories & Lore),1303
Tyrell,1304
Artys Arryn,1305
House Staunton,1306
Giant,1307
Osha,1308
Braavosi prostitute,1309
Mace Tyrell,1310
Balon Swann,1311
Katie Creaven,1312
The Kingsguard (Histories & Lore),1313
Trial by battle,1314
Unsullied 1 (Oathkeeper),1315
